Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Optional_Recycled_Water,Recycled_Water_Units,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_Production_Monthly_Gallons_Month_2013,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
15-Jun,06/01/2015 00:00,El Centro  City of,2,Yes,227130000,291321000,-99999,NULL,G,,44311,119.6,,,227130000,291321000,119.6,0.7,No Correction,Colorado River,153.4
15-Jun,06/01/2015 00:00,El Dorado Irrigation District,2,Yes,3255,4815,331,NULL,AF,Monthly production includes estimated agricultural use of 20.5%. The estimated percentages for residential and agricultural use vary from month to month due to the Districtês bi-monthly meter reading cycles. Monthly production includes wholesale deliveries to the City of Placerville because they are not an urban water supplier. The District has elected not to exclude commercial agriculture deliveries from total potable water production at this time. The District's population has been updated based on an annual review and update of all customer accounts.,118500,169,,Adopted several modifications to our Drought Action Plan to comply with new SWRCB regulations and to increase conservation compliance,1060646395,1568974621,168.5,0.5648,No Correction,Sacramento River,249.3
15-Jun,06/01/2015 00:00,El Monte  City of,2,Yes,75.7,66,0,NULL,MG,"Residential percentage based on March-April, as current billing is still not available. I will resubmit corrected report if later determined to be inaccurate",22968,63.7,,,75700000,66000000,63.7,0.58,No Correction,South Coast,55.6
15-Jun,06/01/2015 00:00,El Segundo  City of,1-Jan-10,Yes,232097,261400,725,NULL,CCF,,16654,83,,,173620613,195540779,83.4,0.24,No Correction,South Coast,93.9
15-Jun,06/01/2015 00:00,El Toro Water District,Level 1,Yes,774,997,56,NULL,AF,Revised the previously submitted report to reconcile our calculated R-GPCD to the State's calculated R-GPCD.,48628,107,"ETWD administers a water budget based conservation pricing rate structure with 4 Tiers based upon cost of service (Tier 1 & 2 efficient indoor and outdoor respectively, Tier 3 inefficient, Tier 4 excessive.  Effective July 1, 2015 imposed a $2/billing unit drought penalty on ""all"" usage within Tier's 3 & 4.","Enhanced targeted outreach.  ETWD administers a water budget based conservation pricing rate structure.  A public hearing will be held to consider public input regarding water & sewer rate increases, reducing the indoor gpcd from 60 - 55 and to reduce the calculated outdoor water allocation from 100% to 50% effective August 1, 2015.",252209004,324873873,107.2,0.62,No Correction,South Coast,138.1
15-Jun,06/01/2015 00:00,Elk Grove Water Service,2,Yes,176923599,297266361,-99999,NULL,G,,44255,105,,,176923599,297266361,105.3,0.79,No Correction,Sacramento River,176.9
15-Jun,06/01/2015 00:00,Elsinore Valley Municipal Water District,Stage 4a,Yes,2032,2371.9,521.1,NULL,AF,,149059,111.08,,"On May 28th, Elsinore Valley Municipal Water District (EVMWD)ês Board of Directors adopted a Water Supply Shortage Contingency Program (WSCP) and declared to move from drought Stage 2 to Stage 4a. The adoption of WSCP is part of a comprehensive drought action plan, which also includes enforcement fines, drought water and surcharge rates, and a variety of conservation programs (turf removal, landscape ordinance, AMI conversion, etc.).   By instrumenting this drought action plan, EVMWD is planning to comply with the State mandate to decrease water consumption by 28% for the enforcement period June/2015-February/2016.  EVMWD has received a grant, to be used for an installation of 5,200 Advanced Meter Infrastructure (AMI) units in the forthcoming 3 months. EVMWD provides incentives of $1 dollar per square foot, in addition to Metropolitan Water District (MWD)ês incentives. As a part of enforcement of WSCPês drought stages prohibitions, EVMWDês Board of Directors has approved the use of enforcement fines. Also, EVMWD is currently using more than 10 internal staff to implement activities of conservation and enforcement. The following abbreviated list outlines some of the prohibitions associated with WSCP-Stage 4a: washing down sidewalks or driveways;  watering during or within 48 hours after a rain event; washing vehicles on property; filling, refilling or adding water to pools; watering on windy days; providing water at restaurantês or food establishments unless requested.  ",662130100,772887000,111.1,0.75,No Correction,South Coast,129.6
15-Jun,06/01/2015 00:00,Escondido  City of,Stage 2,Yes,1773.5,2605.3,65.9,NULL,AF,Revised 2013 water production.  wrong number entered.,134053,80,,,577897506,848940723,80,0.557,No Correction,South Coast,117.6
15-Jun,06/01/2015 00:00,Estero Municipal Improvement District,1,Yes,197098,250440,-99999,NULL,CCF,,37165,68.6,Final Warning Letter sent by registered mail to property owner. The property owner responded and violation has been resolved.,,147439543,187342130,75.4,0.57,No Correction,San Francisco Bay,95.8
15-Jun,06/01/2015 00:00,Eureka  City of,3,Yes,92.39,105.818,0,NULL,MG,,27052,72.9,,,92390000,105818000,72.9,0.64,No Correction,North Coast,83.4
15-Jun,06/01/2015 00:00,Exeter  City of,Stage 3,Yes,64992300,96598600,-99999,NULL,G,,10334,172.133,,,64992300,96598600,176.1,0.84,No Correction,Tulare Lake,261.7
15-Jun,06/01/2015 00:00,Fair Oaks Water District,Stage 4,Yes,892.47,1495.23,0,NULL,AF,,36226,201,,,290812623,487222829,200.7,0.75,No Correction,Sacramento River,336.2
15-Jun,06/01/2015 00:00,Fairfield  City of,2,Yes,573,798,-99999,NULL,MG,"Estimated Residential Water Use is calculated by taking the estimated monthly use and offsetting it by 15 days (reads are monthly, taken throughout the month) ",107540,116,The City of Fairfield is engaged in enforcement actions.  Our enforcement officer is issuing fines in July.,,573000000,798000000,115.4,0.65,No Correction,Sacramento River,160.8
15-Jun,06/01/2015 00:00,Fallbrook Public Utility District,Stage 2,Yes,1055.5,1307,57.5,NULL,AF,,34894,165,,,228975798,250416822,164.3,0.5,No Correction,South Coast,203.4
15-Jun,06/01/2015 00:00,Folsom  City of,3,Yes,1714,2610,0,NULL,AF,"The State Board should give consideration to non-potable water the City conserves from Folsom Lake. As the City's primary water supply source for all water customers (potable and non-potable), the City should be able to include non-potable water savings (as opposed to potable water only) in meeting its required conservation target. The water conserved by the City (potable or non-potable) all comes from the same source and provides a direct benefit to Folsom Reservoir and the water available to the state. The City only draws water from one bucket (Folsom Reservoir) through two different taps (potable and non-potable) and should be able to receive credit for reducing water use from this bucket, whether through potable or non-potable reductions. All the savings come from the same source.",63376,176.2,Some complaints are duplicates for the same address or location.,"City conducted leak and loss detection of all water lines in March 2015, bid the project in May 2015 and will begin repairs on June 15, 2015 for approximately 100 water service lines. On June 8, 2015 the City began a $7.6 million pipeline rehabilitation project that will repair approximately 22,000 lineal feet of concrete pipeline that is leaking. This pipeline delivers raw surface water from Folsom Lake (the City's only supply source and is accounted for in Statements of Diversion and Use) to non-potable water customers in the City's water service area. The City appropriated an additional $350,000 into the Water Conservation Program for the current Fiscal Year 2014-2015 budget specifically for customer rebates programs. After a majority of the $350,000 was accounted for in the first hour of the rebate offer time period, the City appropriated an additional $150,000 for these programs and is considering additional funding in the Fiscal Year 2015/2016 Budget. On June 23, 2015 City Council approved an additional appropriation of $300,000 to the customer rebate programs.towards rebate programs and City facility grass retrofit programs (for medians, parks, and City Hall), bringing the total to $800,000 since May 2015. This includes cash for grass, irrigation efficiency upgrades, high efficiency toilet rebates, high efficiency clothes washer rebates, hot water recirculating system, and lighting and landscape turf removal and irrigation system upgrades. Median ornamental turf and side street ornamental turf has been cut off from potable water use. Additional outreach and public information funds include an additional $20,000 for direct mailers, new drought webpage, City newsletter, and local paper advertisements regarding drought updates, conservation mandates, conservation tips, and requirements of the Governor's Executive Order. Additional part-time staff was hired on June 1, 2015 to address water waste complaints and rebate programs. City staff from other Divisions will work overtime shifts and weekends to respond to the rebate programs and requirements. In the middle of June 2015, the City mailed a ""2015 Drought Guide"" to all water customers.  All of the funds described above are in a direct response to the Governor's Executive Order and the State Water Resources Control Board emergency conservation regulations. These funds, approximately $850,000, were not budgeted in the current fiscal year and only cover the months of May and June 2015. The City believes that state funding should be provided to those agencies that received higher conservation targets since those agencies have to carry a higher burden of the overall conservation for the state.",558509346,850472224,176.3,0.6,No Correction,Sacramento River,268.4
15-Jun,06/01/2015 00:00,Fortuna  City of,2,Yes,38.3,50.8,0,NULL,MG,,12032,106.1,,,38300000,50800000,106.1,1,No Correction,North Coast,140.7
15-Jun,06/01/2015 00:00,Fountain Valley  City of,Stage 2,Yes,739,985,173,NULL,AF,Our Indirect Potable Reuse for this month was 246 acre feet we have not backed this out of our total monthly production amount. ,56916,73.1,,"Our City Council adopted a water conservation resolution that went into effect June 1, 2015 and includes the following; new outdoor watering restrictions that limit the days and duration of irrigation, does not allow outdoor watering during and within 48 hours of rainfall or any watering that causes runoff. Recommends all new plantings be drought tolerant and forbids the washing down of paved surfaces. All leaks to be repaired within 3 days. Hotels and motels are required to notify guests they have the option to not launder towels and linens, and restaurants are prohibited from providing drinking water unless requested. The use of temporary fire hydrant meters is prohibited as is the filling or refilling of pools and spas.  The City has turned off the irrigation to 220,000 square feet of median turf.",240804205,320963656,73.3,0.52,No Correction,South Coast,97.7
15-Jun,06/01/2015 00:00,Fresno  City of,2,Yes,3847770000,5494350000,-99999,NULL,G,,520159,145,,"The City of Fresno had many of the above actions in place prior to both April 1, 2015 as well as the implementation of the current drought regulation.",3847770000,5494350000,145,0.588,No Correction,Tulare Lake,207
15-Jun,06/01/2015 00:00,Fruitridge Vista Water Company,2,Yes,84029174,135000969,-99999,NULL,G,,21441,130,,,84029174,135000969,129.3,0.99,No Correction,Sacramento River,207.8
15-Jun,06/01/2015 00:00,Fullerton  City of,Three,Yes,2185.08,2890.36,620.4,NULL,AF,Bimonthly billing; will update when actual numbers are available.,138000,102.21,Door hangers were given out and some water wasters were contacted. Some complaints did not provide sufficient information for a follow-up.,Subtracted system loss from total production to calculate R-GPCD. Indirect Potable Reuse through GWRS 620.4 AF.,712011436,941827931,116.3,0.6764,No Correction,South Coast,153.9
15-Jun,06/01/2015 00:00,Galt  City of,3,Yes,153.4,242,42,NULL,MG,The commercial use is estimated from last years totals.,24289,168.4,N/A,,153400000,242000000,168.4,0.8,DATA CORRECTION,Sacramento River,265.7
15-Jun,06/01/2015 00:00,Garden Grove  City of,Stage 2,Yes,1900.2,2661.4,-99999,NULL,AF,,177020,69.24,"The City received 36 reports for water wasting during the month of June. The City mailed 30 notification letters, 1 violator received verbal warning and educational brochures, and 5 were repeat violators, therefore, City Staff conducted further investigation. ","Since April 1, the City has implemented a Stage 2 in its water conservation ordinance, which limits outdoor watering to 3-4 days per week. Due to limited field staff, an Environmental Services Specialist and a Water Quality Technician has assisted in reporting and confirmed water wasting activities.  ",619182882,867220988,68.8,0.59,No Correction,South Coast,96.3
15-Jun,06/01/2015 00:00,Georgetown Divide Public Utilities District,3,Yes,49.27,81.1,-99999,NULL,MG,,9863,193.6,,,49270000,81100000,141.5,0.85,No Correction,Sacramento River,233
15-Jun,06/01/2015 00:00,Gilroy  City of,2,Yes,217.62,326.7,-99999,NULL,MG,,53095,89,,,217620000,326700000,88.8,0.65,No Correction,Central Coast,133.3
15-Jun,06/01/2015 00:00,Glendale  City of,Stage 3,Yes,1919.24,2535.6,156.19,NULL,AF,,193300,85.85,"Water Waster Reporting _ The following customers were contacted by phone or by mail warning them that they were reported anonymously as violating the No Water Waste Ordinance.  Receive first warning -  385 Received second warning  -   55 Received third warning - 4 Total warning notices - 444  Water Leaks _ The following customers were notified as a result of the AMI system showing continuous flow, indicating a leak.  Leak Letters Mailed  = 85 Telephone Calls to Customers =52 Field Visits = 42 ",,625387093,826228878,86.3,0.8,No Correction,South Coast,114
15-Jun,06/01/2015 00:00,Glendora  City of,1,Yes,805,1248,-99999,NULL,AF,"The City of Glendora would like to inform the State Water Resources Control Board of the following two reporting changes:  First, when the City of Glendora first began monthly Urban Water Supplier Monitoring reporting as directed by the State Water Resources Control Board, our Water Billing software was not able to differentiate between residential and commercial accounts. In order to complete the Report in a timely fashion the City used a conservative percentage of 85% as our residential customer base. Staff has since completed a comprehensive review of our meters and determined that our actual residential percentage is 78%. The comprehensive review included site visits, verification with internal records and county property tax records. The software now includes the data needed to pull reports by category on a monthly basis. Therefore, the City of Glendora is using the accurate residential figure for our June and subsequent reports.   Second, our early reporting used the City of Glendora 2010 Urban Water Management Plan for our population base figure of 48,200. The June report has been updated to standardize the population based on the California Department of Finance estimates.  As a result, the population for the City of Glendora has been updated to 51,463 pursuant to the May 1, 2015 press release from the California Department of Finance.    ",51463,132.6,No watering between 8am and 5pm. Excessive runoff is prohibited. Hoses must have shut off nozzles. Leaks must be repaired within 24 hrs. Restaurants provide water glasses only upon request. We issue green tags for violators and issue fines for repeat offenders. All State mandated drought restrictions are implemented by an Ordinance adopted by the City Council.  ,"The City of Glendora has been very proactive with our conservation efforts. In 2009 our Council adopted mandatory Stage-1 restrictions. The success of our program historically was measured against a 3 years base average of 2006, 2007 & 2008.   Glendoraês conservation staffing consists of the following: 2 Management Analysts 1 Sr. Office Assistant 3 Conservation Officers 2 Part Time Conservation Officers  for after hours for runoff patrol.  Water Use Efficiency surveys.  Presentations at 3rd, 5th and 6th grade classes. Town Hall meetings Poster Slogan Contests. Presentations at local clubs such as Rotary and Kiwanis. Large rebate program, $4 per sq/ft turf removal program ($2 MWD & $2 Glendora). Conservation booths and water saving items given out at local events.  ",262310399,406662581,132.5,0.78,No Correction,South Coast,205.5
15-Jun,06/01/2015 00:00,Golden State Water Company Artesia,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,430.6,517.5,10,NULL,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology ,47978,72,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,140311624,168628113,72,0.739,No Correction,South Coast,86.6
15-Jun,06/01/2015 00:00,Golden State Water Company Barstow,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,556.4,734.6,-99999,NULL,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology ,31209,112,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,181303734,239370458,111.7,0.577,No Correction,South Lahontan,147.5
15-Jun,06/01/2015 00:00,Golden State Water Company Bay Point,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,143.6,209.6,-99999,NULL,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology ,22258,57,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,46792265,68298459,56.9,0.812,No Correction,San Francisco Bay,83.1
15-Jun,06/01/2015 00:00,Golden State Water Company Bell-Bell Gardens,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,397.3,468.8,10,NULL,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology ,57934,54,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,129460772,152759149,54.1,0.726,No Correction,South Coast,63.8
15-Jun,06/01/2015 00:00,Golden State Water Company Claremont,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,734.5,1272.4,-99999,NULL,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology ,37160,136,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,239337873,414613356,136.5,0.636,No Correction,South Coast,236.5
15-Jun,06/01/2015 00:00,Golden State Water Company Cordova,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,1141.5,1866.7,-99999,NULL,AF,Percent Residential Use based on 2013 metered billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology ,43767,166,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,371959404,608266859,166.3,0.587,No Correction,Sacramento River,271.9
15-Jun,06/01/2015 00:00,Golden State Water Company Cowan Heights,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,188.3,294,-99999,NULL,AF,"Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology  Indirect Potable Reuse (IPR) allocated to Golden State Water Company for May 2015 by OCWD is 784.1 AF of which 77.0 AF has been prorated to the Cowan Heights System. For June 2015, the Total Monthly production was 188.3 AF of which approximately 77.0 AF was from IPR. Therefore, the adjusted Total Monthly Water Production for June 2015 is 111.3 AF and the adjusted GPCD is 158 ",7254,276,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,61357824,95800320,275.5,0.977,No Correction,South Coast,430.1
15-Jun,06/01/2015 00:00,Golden State Water Company Culver City,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,417.2,517.8,-99999,NULL,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology ,36215,70,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,135945215,168725869,69.8,0.558,No Correction,South Coast,86.7
15-Jun,06/01/2015 00:00,Golden State Water Company Florence Graham,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,394.7,450.3,-99999,NULL,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology ,65492,53,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,128613558,146730898,52.8,0.807,No Correction,South Coast,60.3
15-Jun,06/01/2015 00:00,Golden State Water Company Norwalk,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,360.7,463.1,8,NULL,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology ,44466,62,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,117534610,150901796,61.8,0.701,No Correction,South Coast,79.3
15-Jun,06/01/2015 00:00,Golden State Water Company Ojai,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,160.2,236.5,-99999,NULL,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology ,7188,206,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,52201399,77063862,206.5,0.853,No Correction,South Coast,304.8
15-Jun,06/01/2015 00:00,Golden State Water Company Orcutt,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,513.3,830.3,-99999,NULL,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology ,31872,145,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,167259537,270554440,145.4,0.831,No Correction,Central Coast,235.1
15-Jun,06/01/2015 00:00,Golden State Water Company Placentia,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,533.5,731.1,-99999,NULL,AF,"Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology  Indirect Potable Reuse (IPR) allocated to Golden State Water Company for May 2015 by OCWD is 784.1 AF of which 218.2 AF has been prorated to the Placentia System. For June 2015, the Total Monthly production was 533.5 AF of which approximately 218.2 AF was from IPR. Therefore, the adjusted Total Monthly Water Production for June 2015 is 315.3 AF and the adjusted GPCD is 51 ",46543,90,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,173841736,238229978,89.8,0.721,No Correction,South Coast,123
15-Jun,06/01/2015 00:00,Golden State Water Company S Arcadia,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,254.4,362.2,-99999,NULL,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology ,26827,91,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,82896603,118023387,90.5,0.879,No Correction,South Coast,128.9
15-Jun,06/01/2015 00:00,Golden State Water Company S San Gabriel,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,206.4,241.9,1.44,NULL,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology ,27656,62,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,67255735,78823460,62.4,0.77,No Correction,South Coast,73.2
15-Jun,06/01/2015 00:00,Golden State Water Company San Dimas,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,895,1294.9,-99999,NULL,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology ,54872,115,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,291637027,421945013,114.8,0.648,No Correction,South Coast,166.1
15-Jun,06/01/2015 00:00,Golden State Water Company Simi Valley,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,478.7,724.2,-99999,NULL,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology ,43351,88,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,155985078,235981603,88.2,0.735,No Correction,South Coast,133.4
15-Jun,06/01/2015 00:00,Golden State Water Company Southwest,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,2290.7,2696.7,39.2,NULL,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology ,271677,62,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,746427864,878723543,62.3,0.68,No Correction,South Coast,73.3
15-Jun,06/01/2015 00:00,Golden State Water Company West Orange,Stage 2 of the WSCP; Stage 1 of CPUC Schedule 14.1,Yes,1174.3,1530.1,-99999,NULL,AF,"Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  Total Population Served: Used simplified California Urban Water Service Area Population methodology  Indirect Potable Reuse (IPR) allocated to Golden State Water Company for May 2015 by OCWD is 784.1 AF of which 480.4 AF has been prorated to the West Orange System. For June 2015, the Total Monthly production was 1,174.3 AF of which approximately 480.4 AF was from IPR. Therefore, the adjusted Total Monthly Water Production for June 2015 is 694.0 AF and the adjusted GPCD is 46 ",111904,81,"GSWC maintains a web based Water Waste Report Form on its website at gswater.com. GSWC has also developed a Water Waste Case flow chart that follows each reported water waste case from first incident to resolution of the same. Actions items include educational letter, door notice, verbal notice, corrective action, flow restrictor, and referral to local public agency to implement violations penalties.",NULL,382647331,498585268,81.3,0.713,No Correction,South Coast,105.9
15-Jun,06/01/2015 00:00,Goleta Water District,Stage III,Yes,925,1339,-99999,NULL,AF,,86946,50,,,301412570,436315061,50.8,0.44,No Correction,Central Coast,73.6
15-Jun,06/01/2015 00:00,Great Oaks Water Company Incorporated,3,Yes,850.706,1339.659,0,NULL,AF,"Report is based upon water production, not sales, so amount for commercial, industrial, and institutional water is estimated at 22% of total (because 78% of total is for residential use). This amount may be revised as sales data becomes available. Data for commercial agricultural use is not yet available.",99199,70.18,All enforcement during May 2015 was performed through the Santa Clara Valley Water District and is monitored by Great Oaks Water Company through the Access Valley Water website.,"Mandatory Water Conservation tariffs (Schedule No. 14.1) became effective on June 12, 2015.",277203764,436529797,72.7,0.78,No Correction,San Francisco Bay,114.4
15-Jun,06/01/2015 00:00,"Greenfield, City of",3,Yes,147.2,204.6,-99999,NULL,AF,,17898,66,,,47965330,66669202,76.8,0.86,No Correction,Central Coast,106.8
15-Jun,06/01/2015 00:00,Groveland Community Services District,IV,Yes,10785412,18795744,-99999,NULL,G,,3400,100,,,10785412,18795744,99.4,0.94,No Correction,San Joaquin River,173.2
15-Jun,06/01/2015 00:00,Hanford  City of,,Yes,476215570,528745000,-99999,NULL,G,,57050,135.75,,"On June 2, 2015, the City Council adopted an emergency resolution to amend the municipal code in order to implement and enforce the newly adopted SWRCB regulations.",476215570,528745000,135.8,0.4879,No Correction,Tulare Lake,150.7
