Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
15-Nov,11/01/2015  00:00:00,Escondido  City of,Stage 2,Yes,1480.7,1773.7,AF,,134053,64.7,,,34,AF,"99,710,537", 64.8 ,54,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Los Angeles County Public Works Waterworks District 29,Equivalent mandated compliance ,Yes,580,659,AF,A portion of the water supply for District 29 is being transferred to another water supplier (Marina Del Rey Water System - i.e. small water system) outside of its service area. This transferred water is being removed from the previous reported total monthly potable water production. The population of this small water system is also being removed from the previous reported population figures.,22221,232,,"In order to achieve the level of reduction required by the State Board, per the Rules and Regulations for the Waterworks Districts, a Phase VIII Shortage was declared for District No. 29, which mandates water use reductions and Target Quantity (Allocations) that customers must meet to avoid surcharges. The Target Quantity (Allocation) is a 36% reduction from the average amount of water used in an area by all residential customers with similar sized meters in 2013. This averaging methodology is used to ensure that customers that are already conserving water are not unfairly required to reduce their water consumption. A conservation surcharge of 0.5 times the normal water rate is charged for the first 15% of water use above the Target Quantity. An additional conservation surcharge of 1.0 times the normal water rate is charged for all water used in excess of the first 15% above the Target Quantity. ",,AF,"18,899,383", 232.5 ,82,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Placer County Water Agency,2,Yes,404841870,635721621,G,"PCWA reads most commercial, industrial, and institutional (CII) meters bi-monthly; therefore, data including all customers for a given month will not be available until two months after that month. An estimate of CII use based on estimated PRU and unaccounted-for water has been provided. This estimate will be replaced with actual data in March 2016 for all reporting months.",95717,96.78,,"Piloted the use of SmartMeters for future data tracking. Partnered with neighboring utilities and the Department of Water Resources to sponsor landscape efficiency workshops. PCWA participated in a regional effort to expand the regions public outreach program, which includes television, radio, online and social media water conservation messaging. The program, managed by the Regional Water Authority, represents a collaboration of 20 water agencies in the Sacramento region and will be active from September 2015 through February 2016. Reduced irrigation to one (1) day per week.",,G,"86,462,613", 97.3 ,69,No Correction,Sacramento River,
15-Nov,11/01/2015  00:00:00,Corona  City of,3,Yes,2147.368,2457.59,AF,"Overall water sales (direct customer consumption) decreased by 18% in November 2015 compared to 2013. Residential usage decreased by 16% and CII usage decreased by 23%. The current accumulated reduction in water sales (customer consumption) from June 2015 through November 2015 is 25%.  UC Riverside CIMIS Station 44 data showed the average temperature in 11/2015 was 1.6 degrees lower compared to 11/2013, however  the total evapotranspiration rate (ETo) was 0.01 higher in 11/2015 compared to 11/2013 and 0.92 less inches of rain fell in 11/2015 compared to 11/2013. Both these conditions are factors contributing to higher water usage to maintain the same landscape. ",168070,108.38,"In November 2015, a total of 1,058 customers had water usage charged in Tier 4 (Excessive Water Use) and 899 customers had water usage charged in Tier 5 (Wasteful Water Use). All customers with water usage falling into tier 4 and 5 are notified by postcard and a portion of these customers are contacted by phone to schedule an appointment to address the high water usage.","In November 2015, Corona's Water Resources Team received 333 calls relating to water conservation questions, rebate programs and water waste with 679 outgoing calls. A total of 145 residential landscape checkup (water audits) appointments, one large landscape audit, eight commercial/industrial landscape audits, three multi-family residential audits (mixed use meter accounts) and 28 follow up site visits were completed, as well as sprinkler and timer adjustments or leak repairs at 12 sites and the installation of water saving devices at one property were completed. In November 2015, there were five education events held and ten classroom presentations reaching 241 students. 132 bathroom aerators, 64 hose nozzles, 57 kitchen aerators, 124 showerheads, 128 toilet dye tablets, and 127 shower timers were delivered or provided to residential customers. 138 rebates were issued for residential customers and 562 commercial rebates were issued.",322.25,AF,"195,549,958", 108.4 ,78.1,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Burbank  City of,3,Yes,1145.9,1507.1,AF,,106084,86.77,"Every complaint was followed up with a letter, and every letter mentions possible fines.","Still in Stage 3, but now on November through March 1-day-per-week watering schedule.  Used WaterSmart",,AF,"107,889,407", 86.8 ,73.95,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Camarillo  City of,2,Yes,641.3,706.9,AF,,47026,86.45,"Ongoing patrolling by conservation contractor & City staff, delivering door tags, ordinance summaries and issuing citations.  In addition to enforcement, a free water conservation gardening workshop was held on 11/14/15 open to the public.","City Council approved additional measures to Stages 2 & 3 of the Municipal Code Chapters 2 & 3, affecting new development, along with a resolution to re-declare a Stage 2 water shortage to impose the new measures. Water rate increases were approved at 7% annually for the next 2 years as part of a Prop 218 process, effective 1/1/16 and 1/1/17.",49.7,AF,"29,098,532", 85.9 ,58,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Blythe  City of,1,Yes,63.2,73.2,MG,"Residential water use is calculated using consumption data by comparing residential water uses (RESSIF: residential single family; RESMUF: residential multifamily) to the remaining accounts such as irrigation, commercial, and public entities.",13839,93.3,Per Ordinance No 871-15 First Violation  Written Notice; Second Violation (within 12 months of the first violation)  Final Written Notice; Third Violation (within 12 months of the first violation) - $100 surcharge in customer water bill; Fourth Violation (within 12 months of the first violation) - $150 surcharge in customer water bill; Fifth Violation or more violation (within 12 months of the first violation) - $200 surcharge in customer water bill.,"Ordinance No 871-15 was approved by Council on May 26, 2015. The Ordinance added Chapter 13.05 (Water Conservation) to Title 13 (Public Services) of the Blythe Municipal Code. The purpose and policy states that due to the water conditions prevailing in the State of California, it is necessary and appropriate to adopt a water conservation program to reduce the water used by persons in the City.  The City of Blythe posted on its webpage at http://www.cityofblythe.ca.gov tips for water conservation from the statewide program Save Our Water, a partnership between the Association of California Water Agencies and the California Department of Water Resources. ",0,MG,"18,800,000", 93.3 ,61.3,No Correction,Colorado River,
15-Nov,11/01/2015  00:00:00,Roseville  City of,3,Yes,1350,2144,AF,,122946,60.02,,,32.22,AF,Null, 69.8 ,58.53, DATA CORRECTION ,Sacramento River,
15-Nov,11/01/2015  00:00:00,Vista Irrigation District,2,Yes,1193,1361,AF,,124746,68,,,,AF,"116,654,811", 67.5 ,65,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,West Valley Water District,Stage 3A,Yes,1225,1540,AF,,74194,119,,"The Board is seeking to approve 2 day a week watering on December 17, 2015.",,AF,"111,115,337", 120.2 ,67,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Napa  City of,Stage 2,Yes,741,1059,AF,"Because our utility billing system is comprised of staggered bimonthly meter read cycles, the City is not able to calculate exact amounts of Commercial, Industrial, Institutional and Residential usage on a calendar month basis.  The data reported here are estimated based on recent historical annual percentages by account type.",86051,61,"The City of Napa continued its formalized Water Waste Reporting procedures, encouraging customers to report violations via phone or email (link on the City's web site).  Water Division field staff are tasked with reporting violations and educating customers in the course of their normal duties.  No water waste complaints were received in November.","In May 2015, the City renewed its declaration of a Moderate Water Shortage and modified its Stage 2 regulations to include a prohibition on landscape irrigation on consecutive days (effectively a three-days-per-week allowance without prescribed days).  The modified regulations also include all statewide prohibitions in addition to mandatory restrictions on irrigation time of day (10am to 5pm prohibited) and pool draining and refilling (only allowed for repairs).  Also in May, a new Water Conservation Specialist was hired, filling a staff vacancy.  A new two-year budget was adopted in June, with increases in water conservation program funding.  An annual 4% rate increase took effect October 1.  Educational/awareness campaign on the drought, water-saving target (20% vs. 2013), and water waste prohibitions continues with bill messages and inserts, web site updates, newspaper articles, radio ads, magazine ads, and displays at public buildings and community events.",,AF,"65,170,285", 60.8 ,65,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Mission Springs Water District,1-A,Yes,582,557,AF,"MSWD's per-capita usage is only 109 GPCD for November, and averaging 114 GPCD for the calendar year. Considering the climate of the region and basic water needs, it would have been nearly impossible to meet the prescribed goal of 76 GPCD.",37600,109,,,,AF,"66,473,691", 109.3 ,65,No Correction,Colorado River,
15-Nov,11/01/2015  00:00:00,Los Angeles County Public Works Waterworks District 40,Equivalent Mandated Compliance,Yes,2735,3598,AF,,207705,110.13,,"In order to achieve the level of reduction required by the State Board, per the Rules and Regulations for the Waterworks Districts, a Phase VII Shortage was declared for District No. 40, which mandates water use reductions and Target Quantity (Allocations) that customers must meet to avoid surcharges. The Target Quantity (Allocation) is a 32% reduction from the average amount of water used in their area by all residential customers with similar sized meters in 2013.   This averaging methodology is used to ensure that customers that are already conserving water are not unfairly required to reduce their water consumption. A conservation surcharge of 0.5 times the normal water rate is charged for the first 15% of water use above the Target Quantity. An additional conservation surcharge of 1.0 times the normal water rate is charged for all water used in excess of the first 15% above the Target Quantity ",,AF,"133,680,548", 110.1 ,77,No Correction,South Lahontan,
15-Nov,11/01/2015  00:00:00,Nevada Irrigation District,3,Yes,152.6,224.3,MG,,44761,94.02,,,,MG,"20,610,000", 94.0 ,82.73,No Correction,Sacramento River,
15-Nov,11/01/2015  00:00:00,Alameda County Water District,Stage 2,Yes,864,1161,MG,"Calculated % residential use per the recommendation by SWRCB  in their guidance for estimating residential GPCD - this % is based on the October 2014/November 2014 (previous year) consumption for residential (SFR and MFR, including MF dedicated landscape accounts), as listed in the water revenue and consumption report for FY 2014/15. ",346000,55.8,Enforcement information provided with July 2014 report - no updates at this time. Note: 5 of the 32 water waste reports listed above required no action (not violations or could not confirm information provided).,:  Information provided with July 2014 report - no updates at this time.,,MG,"316,000,000", 55.8 ,67,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Hawthorne  City of,2,Yes,348.7,363.3,AF,CII quantity of water included all non-residential sales. ,44549,72.7,,,,AF,"13,327,323", 72.8 ,85.6,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Nipomo Community Services District,3,Yes,131.7,198.4,AF,,12512,94.9,,,,AF,"7,299,072", 94.9 ,83,No Correction,Central Coast,
15-Nov,11/01/2015  00:00:00,Rancho California Water District,4a,Yes,3826,4480,AF,"Total monthly potable production for September 2015 was 73% groundwater; only 27% potable import water was produced, although raw import was taken for groundwater recharge. For non-revenue water, we are not currently tracking unaccounted-for water on a monthly basis; however, our 2010 UWMP shows that our historical average has been about 5% of potable water. ",169011,115.83,"RCWD maintains a Water Conservation Policy that includes fines of up to $500 per violation for water wasting. The District continues to inform its customers, personnel, and local agencies on reporting and responding to water waste. ","On May 14, 2014, the District's Board adopted a resolution of declaration of Stage 4a of its Water Shortage Contingency Plan (WSCP) and Water Conservation Policy. This stage reduces the amount of water available to customers in the Tier 2 portion of their water budgets by 30%. Additionally, RCWD revised its structure for the administration of fines for violations of the provisions of the WSCP. These revisions allow staff to send a stronger signal to customers who violate WSCP provisions. ",,AF,"77,878,491", 115.6 ,47,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Rainbow Municipal Water District,Level 2,Yes,1230.4,1336.6,AF,,19495,117.8,,,,AF,"16,651,008", 117.9 ,17.2,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Oceanside  City of,Level 2,Yes,1758.6,1980.3,AF,,174522,68,,,,AF,"81,788,708", 68.2 ,62.3,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Western Municipal Water District of Riverside,Stage 4-B,Yes,1522,1710,AF,The average ETo for Western's retail service area for November 2013 was 3.32 inches. The ETo for the same period in 2015 was 3 percent lower measuring 3.22 inches.  Western is not able to calculate the percentage of residential use or CII deliveries until four weeks after the end of the month. The above reported percentage of residential use (61%) and CII deliveries (416.79) is for October 2015. Both numbers will be updated in January 2016 during the SWRCB's December reporting cycle.,96139,105.51,"Western has allocation based water rates for more than 95% of our urban water users, including residential, commercial, and landscape accounts. Via Western Resolution 2910, adopted May 20, 2015, we recommend just 3 watering days per week. However, if a customer is within their individualized water allocation and there is no run-off, daytime irrigation, or other identifiable waste of water, the three-day recommendation will not be strictly enforced.  Western partners with the public and local code enforcement teams to monitor prohibited water uses and water saving progress in the community we serve. Western encourages the public to use a smart phone application called iEfficient. The app allows the public to report water waste and an email is automatically delivered to Western's customer service team. Western's field crews are also using the app to report and track water waste. Also, in partnership with the City of Riverside's 311 dispatch, we reach out to residential or business customers that may have a problem with water waste. The first warning letter offers assistance through free efficiency evaluations for all customers. The second letter within a twelve month period reminds them of assistance and warns of monetary penalties. The third notice imposes daily penalties. ","On May 20, 2015, Western adopted Resolution 2910 which implemented Stage 4-B in the Water Supply Contingency Plan. This stage reduced all outdoor water allocations by 30 percent and CII allocations by 10 percent. In addition, Tiers 3 and 4 of Western's water rate structure were removed. All water use above a customer's adjusted water allocation will be charged the applicable Tier 5 water rate. Western has sent individualized letters to customers informing them of the changes in allocations and asking for an outdoor water use reduction of 50 percent. Western expects that through the combination of reduced water allocations, enhanced outreach and rebate programs, as well as the enforcement of prohibitions and restrictions, we will ultimately achieve the mandated 32 percent reduction. ",,AF,"135,811,616", 104.9 ,61,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Tahoe City Public Utilities District,2,Yes,11627029,13115882,G,"The Tahoe City Public Utility District is a resort community with a very high transient and second home population. It is not equitable to use traditional methods to estimate population within our service area, as our population that uses water fluctuates monthly, weekly and daily in some cases. Instead of simply using the average population as determined by our 2010 UWMP, TCPUD has estimated monthly population relative to changes in sewer flows within our service area. This provides a more accurate estimate of the population density using water during a given month and we have applied this data to our estimated base full time population which occurs in the month of November. The result is a more equitable distribution of monthly water use among all types of residential users, not just the relatively low full time population. ",4766,49.3,,4141 notifications sent for winter targets  23 phone calls received 36 emails received 448 conservation calculator users 76 conservation website visits 2 cash rebates,,G,"1,818,312", 49.3 ,60.6,No Correction,North Lahontan,
15-Nov,11/01/2015  00:00:00,Lompoc  City of,Stage 2,Yes,93,138,MG,"Lompoc - Utility and Sales Consumption, report September 2015; Reading dates: 8/20/15 - 9/17/15.   I resubmitted my report due to an incorrect population total. The current population is now submitted.",41541,61.9,One water wasting complaint was due to irrigation repair and therefore did not warrant a violation warning. ,,0,MG,"31,900,000", 61.9 ,83,No Correction,Central Coast,
15-Nov,11/01/2015  00:00:00,California Water Service Company Bakersfield,2,Yes,3514.2,4991,AF,CII quantity of water included all non-residential sales. ,279330,86.1,,,,AF,"389,718,307", 86.1 ,63,No Correction,Tulare Lake,
15-Nov,11/01/2015  00:00:00,Amador Water Agency,2,Yes,64.04,68.82,MG,,23347,52,,,,MG,"24,940,000", 52.1 ,56.96,No Correction,San Joaquin River,
15-Nov,11/01/2015  00:00:00,California Water Service Company Oroville,2,Yes,122.6,180.3,AF,CII quantity of water included all non-residential sales. ,10693,56.5,,,,AF,"24,699,538", 56.5 ,45.4,No Correction,Sacramento River,
15-Nov,11/01/2015  00:00:00,Trabuco Canyon Water District,2,Yes,181,215,AF,,13175,88,,Commercial Ag used 25.88 AF,55,AF,"16,944,274", 88.0 ,59,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Otay Water District,2,Yes,1938.8,2377.2,AF,,217800,65,,,,AF,"225,847,624", 64.8 ,67,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,San Diego  City of,Level 2 Drought Alert + Permanent Mandatory Restri,Yes,12428.5,14390.6,AF,"Residential use was estimated by looking at metered consumption of single-family residential accounts, multi-family residential accounts, and residential irrigation accounts for FY 2015, in proportion to total water use.  Also, we are using the 2015 population estimate for San Diego recently released by the Department of Finance.  Also, the numbers for CII and Commercial Agriculture will reflect usage billed in November 2015 as an estimated for water delivered in the same month. ",1314290,55.36,,"While the average temperature in November 2015 was the same as in November 2013, there was less rainfall in November 2015 compared to November 2013.  Also, since the implementation of State mandated reductions in June 2015, San Diegos cumulative reduction in usage is 21%, achieving more than the 16% mandate.",1127,AF,"1,118,647,949", 55.4 ,53.9,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Truckee-Donner Public Utilities District,4,Yes,66620600,71190400,G,"The TDPUD provides potable water utility service to an alpine, recreational area where the opportunity for conservation in outdoor irrigation exists only in the summer months.  Winter potable water consumption is predominantly indoor use based on seasonal climate and recreational populations.   ",32776,55.5,,,,G,"12,031,426", 54.9 ,81,No Correction,North Lahontan,
15-Nov,11/01/2015  00:00:00,"Modesto, City of",II,Yes,883376110,1302876190,G,,220918,86.85,,,,G,"307,770,265", 86.9 ,65.16,No Correction,San Joaquin River,
15-Nov,11/01/2015  00:00:00,Joshua Basin Water District,Stage 1 (Ordinance No. 15-9),Yes,103.458,100.258,AF,"Total Population Served: This was determined by the Districts consultant Kennedy/Jenks in the 2010 Urban Water Management Plan.  Metered Deliveries:  Approximately 80 accounts were improperly categorized in the billing software, many of which were designated as residential users.   Percent of Residential Use: This was determined by taking billing data as a percentage of total monthly production.  Note: Previous methodology took residential billing data as a percentage of total deliveries.     Percent of Residential Use: After reviewing the software's consumption report, it was discovered that deliveries were actually representing one month prior to the listed reporting period. For example when generating the billing software consumption report for June it is actually representing May consumption.  Total Monthly Production: After reviewing the softwares production reports it was discovered that depending on the day of the week the report is pulled it may drag in a previous months production.  For example, lets say the 1st falls on a Monday its actually recording the 30th-31st production data into the following months production totals).  The Percent of Residential Use is based off of previous years deliveries; however, once the deliveries become available this report is then updated ",9514,83.661,The single water waste complaint that was received in November proved to be unfounded.,"The District conducted one residential audit, and four commercial, industrial, and institutional (CII) audits. ",0,AF,"4,317,206", 83.7 ,70.831,No Correction,Colorado River,
15-Nov,11/01/2015  00:00:00,Santa Barbara  City of,Stage 3,Yes,762,1093,AF,Approximately 14 AF of the City's November 2015 monthly production was sold to agriculture.,93091,66.5,"If we have enough information about the complaint (location & issue) we follow up on every complaint with either a drive-by, phone call, door hanger, or in person contact.","On May 5, 2015 the City enacted a Stage 3 Drought Condition, including minor changes to the Stage 2 Drought regulations to make sure they align with the mandatory State regulations. The City's water conservation target is a 25% reduction, based on local water supply conditions. As of November 2015, the City's cumulative water savings since enacting the Stage 3 regulations is 35%. In addition, new water rates took effect July 1, 2015. These rates increase dramatically from current rates, as they include the cost to bring the City's desalination plant back online in response to drought related supply shortage. The City expects further conservation from water users in response to the new drought rates.",,AF,"61,585,920", 66.7 ,75,No Correction,Central Coast,
15-Nov,11/01/2015  00:00:00,Tuolumne Utilities District,Phase II of IV,Yes,245,344,AF,,28997,75,,,,AF,"21,180,343", 89.9 ,98,No Correction,San Joaquin River,
15-Nov,11/01/2015  00:00:00,Sacramento County Water Agency,3,Yes,522461197,876151660,G,,174328,73,,,,G,"139,223,394", 73.3 ,73.35,No Correction,Sacramento River,
15-Nov,11/01/2015  00:00:00,San Buenaventura  City of,3,Yes,1193.2,1396.02,AF,"Ventura Water is on a bi-monthly billing cycle.  Therefore, we cannot obtain total commercial, industrial and institutional water use on a monthly basis.  Therefore, Ventura Water is reporting only the water usage of accounts that were billed in the month of November 2015.",113478,72.56,,,57.04,AF,"102,969,051", 72.6 ,63.54,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Elk Grove Water Service,2+,Yes,110953135,178691519,G,,44228,63,,,,G,Null, 65.2 ,78,No Correction,Sacramento River,
15-Nov,11/01/2015  00:00:00,Newhall County Water District,1B ,Yes,639.69,710.47,AF,,45036,100.61,Sent out field staff to leave door hangers on properties violating conservation rules. Mailed out postcards to customers whose usage is above their November water usage target by 50 percent or more.,,,AF,"59,034,503", 100.6 ,65.22,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Valencia Water Company,1B,Yes,1832.66,2055.56,AF,,118224,83.6,,Valencia Water Company continues to update the Drought Report Online Utility Tracking Tool which enables customers to track their current water use relative to their individual 24% conservation standard as stated in their customized drought reports.,38.95,AF,"313,012,881", 83.6 ,49.65,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Castaic Lake Water Agency Santa Clarita Water Division,2,Yes,1769,1987,AF,,121688,109.27,"In Nov. 2015, we issued 101 warning/violation notices for the prohibited activities stated in SCWD Ordinance No. 43",,0,AF,"182,150,948", 109.3 ,69.2,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,California Water Service Company East Los Angeles,2,Yes,1130.6,1290.4,AF,CII quantity of water included all non-residential sales. ,159077,41,,,,AF,"166,705,590", 41.1 ,53.2,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Exeter  City of,3,Yes,37909998,48889900,G,,10572,98.014,,,,G,"7,329,682", 98.0 ,82,No Correction,Tulare Lake,
15-Nov,11/01/2015  00:00:00,"Rio Vista, city of",3,Yes,38384000,60047000,G,,8324,108,,,,G,"11,515,200", 107.6 ,70,No Correction,Sacramento River,
15-Nov,11/01/2015  00:00:00,Sweetwater Springs Water District,1,Yes,47.8,59,AF,,7767,55.5,,,,AF,"2,639,397", 55.5 ,83,No Correction,North Coast,
15-Nov,11/01/2015  00:00:00,California Water Service Company Visalia,2,Yes,1458.3,2194.6,AF,CII quantity of water included all non-residential sales. ,139266,77.1,,,,AF,"177,328,347", 77.1 ,67.8,No Correction,Tulare Lake,
15-Nov,11/01/2015  00:00:00,California Water Service Company Selma,2,Yes,218.3,372.3,AF,CII quantity of water included all non-residential sales. ,25058,66.6,,,,AF,"19,420,745", 66.5 ,70.3,No Correction,Tulare Lake,
15-Nov,11/01/2015  00:00:00,California Water Service Company Chico District,2,Yes,1031.8,1724.9,AF,CII quantity of water included all non-residential sales. ,103079,77.1,,,,AF,"115,905,353", 77.1 ,70.9,No Correction,Sacramento River,
15-Nov,11/01/2015  00:00:00,Soquel Creek Water District,3,Yes,71.381,99.957,MG,"This report is amended to correct a consumption data error and reflect the revised AMBAG-generated 2010 population estimate.  Percent residential use, R-GPCD and CII water is calculated assuming an unmetered water use and water loss rate (non-revenue water) of 9.4%. CII water is the estimated monthly production volume attributed to all CII users. Population is updated monthly based on SWRCB guidance.",37720,43.6,"Mandatory Restrictions: Our District has declared a Stage 3 Water Shortage Emergency with a curtailment target of 25% over 2013 consumption (Note that our State-mandated reduction target is 8%). In this Stage, we are actively enforcing compliance with all applicable restrictions including our Water Waste Ordinance (always in effect), Our Stage 3 requirements, and the States Emergency Regulations. We have a dedicated water waste enforcement staff member who responds to reports of water waste from the public as well as District field staff. Outdoor Irrigation: We do not have restrictions on watering days; however, we prohibit overhead spray irrigation seven days a week from 10 a.m. to 8 p.m. We encourage customers to irrigate efficiently and our large landscape accounts have been issued site-specific water budgets that reflect efficient irrigation. These accounts receive a monthly report showing how their irrigation compares to their budget. ","We've had several of these actions in place prior to April 1, 2015, including: use of behavioral modification programs (WaterSmart and Waterfluence); use of automated meter reading which has enhanced our leak notification program; and increased conservation program scope in which we've focused on commercial food service and hospitality conservation.",0,MG,"11,802,000", 46.7 ,74.1,No Correction,Central Coast,
15-Nov,11/01/2015  00:00:00,East Valley Water District,Stage 2,Yes,1183.25,1407.67,AF,,101733,98.54,,,,AF,"90,840,861", 98.5 ,78,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,California Water Service Company Bear Gulch,2,Yes,557.8,968.1,AF,CII quantity of water included all non-residential sales. ,73322,72,,,,AF,"35,648,146", 72.0 ,87.1,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Buena Park  City of,Phase 2,Yes,919.3,1148,AF,,82767,71.2,,,,AF,"119,848,155", 71.2 ,59,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,South Gate  City of,Stage 1,Yes,626.68,671.26,AF,,96057,64,,,,AF,"49,529,417", 63.8 ,90,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Hillsborough  Town of,Two,Yes,50649,95392,CCF,,10850,102,The Town issued overuse penalty notices based on water allotment over usage.,No changes to the implemented actions.,,CCF,Null, 102.4 ,88,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,"California Water Service Company Dixon, City of",2,Yes,75.3,111.6,AF,CII quantity of water included all non-residential sales. ,9993,69.7,,,,AF,"3,388,855", 69.7 ,85.2,No Correction,Sacramento River,
15-Nov,11/01/2015  00:00:00,Redlands  City of,Stage 2,Yes,1602.1,1734.9,AF,"The City cannot provide the exact amount of CII water use because it bills bi-monthly. However, CII use is approximately 31% of the City's overall water usage so the number provided is 31% of the month's overall production.",77852,154.23,"Of the 147 public complaints received this month, only 10 were for second time violators, with 137 being new offenders. Customer contact is STRONGLY encouraged after first violation, resulting in minimal second time violators, and zero third time violators to date. Upon 3rd violation, fines are imposed.","Since last month's report the City has hired an additional water waste investigator, totaling three.",,AF,"161,850,404", 154.2 ,69,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,San Juan Water District,4,Yes,514.05,849.8,AF,"San Juan Water District is on a bi-monthly billing cycle and has provided a best estimate for monthly Commercial and Institutional water use. Per SWRCB's direction, this serves as the District's note on the data deficiency. When data that is more accurate becomes available, the District will file a revised report. ",32779,148.19,"San Juan Water District does not directly issue financial penalties. San Juan will disconnect water service if compliance is not met. When water service is disconnected, the customer will pay a reconnection fee and must prove the violation was remedied before service can be restored. ","San Juan contracted with a private security firm to observe, document and report on water waste in the District during nighttime and early morning hours when staff if not available. The District also hired additional staff to perform water waste patrol in the early morning hours and throughout the day. For the top 100 water users, San Juan is reading meters more frequently and notifying customers if water reductions are not met. Staff also reviews usage at each meter reading looking for customers who have used noticeably more water than the previous month or the same time last year. For non-fire use, hydrant use has been restricted to 2 strategic locations within the District to perform necessary flushing requirements. ",,AF,"40,030,848", 148.2 ,87,No Correction,Sacramento River,
15-Nov,11/01/2015  00:00:00,California Water Service Company Dominguez,2,Yes,2260.8,2731.6,AF,CII quantity of water included all non-residential sales. ,142255,66.9,,,,AF,"408,650,275", 66.8 ,38.7,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Hayward  City of,Stage 1,Yes,438860,561230,CCF,,152889,42,,,0,CCF,"185,434,597", 42.2 ,59,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,California Water Service Company Hermosa/Redondo,2,Yes,845,993.1,AF,CII quantity of water included all non-residential sales. ,95817,78.8,,,,AF,"42,751,707", 78.7 ,82.2,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,California Water Service Company King City,2,Yes,101.5,142.6,AF,CII quantity of water included all non-residential sales. ,15007,38.1,,,,AF,"15,999,305", 38.1 ,51.9,No Correction,Central Coast,
15-Nov,11/01/2015  00:00:00,Yucaipa Valley Water District,Mandatory,Yes,225.43,247.15,MG,"Based on the data collected for November 2015, the Yucaipa Valley Water District achieved a 8.79% reduction in potable water use compared to November 2013 plus a 15.46% use of direct delivery recycled water. While the Yucaipa Valley Water District continues to strive for a 36% reduction in potable water use only, the total savings of 8.79% plus 15.46% reduced our overall potable water use by 24.25% in November 2015. The amount of recycled water used by YVWD is significant because this amount of landscape irrigation cannot be further reduced in our community compared to other communities. [498 characters]",44647,146,The Yucaipa Valley Water District staff is in the process of reviewing our water conservation and enforcement program to adjust for winter overwatering issues. The revisions to our program have included additional staffing and increased distribution of weather-based irrigation controllers for customers.,"The Yucaipa Valley Water District continues to evaluate and evolve our water conservation program to meet the requirements set forth by the SWRCB. The Percentage of Residential Use is based on the amount of water consumed by single family and multi-family accounts for the month of November 2015. ***** The Total Population Served was automatically provided by the SWRCB as 44,896. This figure was changed to 44,647 for this reporting period based on active customer accounts as of November 30, 2015. The population served is evaluated and updated each month by YVWD based on the number of active service connections. ****** The amount of recycled water entered is for direct deliveries and construction water. This figure does not include the recharge of recycled water.******The YVWD has implemented a new recycled water fill station that is actively staffed and training courses continue to add customers to this program.******The YVWD has implemented the installation of weather-based irrigation controllers.  This involved adding 20 installers in our service area resulting in the direct installation of 91 Skydrop irrigation controllers in November 2015. [982 Characters]",41.22,MG,"12,489,000", 146.4 ,87,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,San Bernardino  City of,2A,Yes,2578.49,3091.89,AF,,198163,92.5,,,0,AF,"277,214,843", 92.6 ,65.5,No Correction,South Coast,
